Company Name,Ticker,Market Cap (mil),Sector,Industry
"Abercrombie & Fitch","ANF","4356.01","Retail-Wholesale","Retail - Apparel and Shoes"
"ANGHAMI INC","ANGH","17.39","Consumer Discretionary","Broadcast Radio and Television"
"Angi","ANGI","346.5","Computer and Technology","Internet - Content"
"AngioDynamics","ANGO","471.11","Medical","Medical - Instruments"
"Angel Studios, Inc.","ANGX","549.74","Consumer Discretionary","Media Conglomerates"
"Anika Therapeutics","ANIK","156.47","Medical","Medical - Biomedical and Genetics"
"ANI Pharmaceuticals","ANIP","1723.38","Medical","Medical - Biomedical and Genetics"
"Anixa Biosciences","ANIX","100.14","Medical","Medical - Biomedical and Genetics"
"Adlai Nortye Ltd. Sponsored ADR","ANL","373.43","Medical","Medical - Biomedical and Genetics"
"AleAnna Inc.","ANNA","177.97","Medical","Medical - Drugs"
"Annexon","ANNX","593.38","Medical","Medical - Biomedical and Genetics"
"Rich Sparkle Holdings Limited","ANPA","156.38","Business Services","Business - Services"
"Anta Sports Products","ANPDF","30008.09","Consumer Discretionary","Shoes and Retail Apparel "
"Alto Neuroscience, Inc.","ANRO","600.2","Medical","Medical - Biomedical and Genetics"
"Agriculture & Natural Solutions Acquisition Corporation","ANSC","465.95","Unclassified","Unclassified"
"Antalpha Platform Holding Company","ANTA","200.74","Finance","Financial - Miscellaneous Services"
"AN2 Therapeutics","ANTX","28.5","Medical","Medical - Biomedical and Genetics"
"Annovis Bio","ANVS","71.03","Medical","Medical - Biomedical and Genetics"
"Sphere 3D","ANY","4.43","Finance","Financial - Miscellaneous Services"
"ANZ Group Holdings Limited - Sponsored ADR","ANZGY","85060.69","Finance","Financial - Miscellaneous Services"
"Arogo Capital Acquisition Corp.","AOGO","6.16","Unclassified","Unclassified"
"Angel Oak Mortgage REIT Inc.","AOMR","207.78","Finance","REIT and Equity Trust"
"Aon","AON","68417.89","Finance","Insurance - Brokerage"
"Aeon","AONNY","41558.09","Retail-Wholesale","Retail - Miscellaneous"
"Artivion","AORT","1692.7","Medical","Medical - Instruments"
"A. O. Smith","AOS","10675.98","Industrial Products","Manufacturing - Electronics"
"Alpha and Omega Semiconductor","AOSL","656.23","Computer and Technology","Electronics - Semiconductors"
"American Outdoor Brands","AOUT","114.29","Consumer Discretionary","Leisure and Recreation Products"
"Aoxing Pharmaceutical","AOXG","1.91","Medical","Medical - Drugs"
"AmpcoPittsburgh","AP","186.39","Industrial Products","Metal Products - Procurement and Fabrication"
"APA","APA","10150.63","Oils-Energy","Oil and Gas - Exploration and Production - United States"
"StoneBridge Acquisition II Corporation","APAC","80.58","Unclassified","Unclassified"
"A Paradise Acquisition Corp.","APAD","208.47","Unclassified","Unclassified"
"Artisan Partners Asset Management","APAM","3232.73","Finance","Financial - Investment Management"
"ARKO Petroleum Corp.","APC","874.73","Oils-Energy","Oil and Gas - Refining and Marketing"
"AppTech Payments Corp.","APCX","11.01","Business Services","Financial Transaction Services"
"Air Products and Chemicals","APD","62225.68","Basic Materials","Chemical - Diversified "
"American Public Education","APEI","822.15","Consumer Discretionary","Schools"
"Alps Electric","APELY","3039.35","Computer and Technology","Electronics - Miscellaneous Components"
"Aperam","APEMY","3816.57","Basic Materials","Steel - Producers"
"Coloured Ties Capital","APEOF","6.14","Finance","Financial - Investment Management"
"APi Group","APG","18711.61","Business Services","Business - Services"
"Apogee Therapeutics Inc.","APGE","4869.18","Medical","Medical - Biomedical and Genetics"
"American Power Group","APGI","10.81","Oils-Energy","Alternative Energy - Other"
"Amphenol","APH","186226.06","Computer and Technology","Electronics - Connectors"
"Agora","API","444.27","Business Services","Technology Services"
"Applied Digital Corporation","APLD","8572.1","Finance","Financial - Miscellaneous Services"
"Apple Hospitality REIT","APLE","2863.25","Finance","REIT and Equity Trust - Other"
"Appili Therapeutics","APLIF","1.88","Medical","Medical - Biomedical and Genetics"
"Apollomics Inc.","APLM","22.16","Medical","Medical - Biomedical and Genetics"
"Apellis Pharmaceuticals","APLS","2800","Medical","Medical - Biomedical and Genetics"
"Aptorum Group Limited","APM","5.14","Medical","Medical - Drugs"
"Apollo Global Management","APO","66243.63","Finance","Financial - Investment Management"
"Apogee Enterprises","APOG","865.35","Industrial Products","Glass Products"
"AppLovin","APP","132890.67","Business Services","Technology Services"
"AppFolio","APPF","5983.69","Computer and Technology","Internet - Software"
"Appian","APPN","1841.15","Computer and Technology","Internet - Software"
"Digital Turbine","APPS","490.39","Computer and Technology","Internet - Software"
"Aprea Therapeutics","APRE","5.59","Medical","Medical - Biomedical and Genetics"
"Alpha Pro Tech","APT","52.22","Industrial Products","Security and Safety Services"
"Alaska Power & Telephone","APTL","58.08","Computer and Technology","Electronics - Power Generation"
"Aptose Biosciences","APTOF","4.06","Medical","Medical - Biomedical and Genetics"
"APTIV HLDS LTD","APTV","16528.42","Auto-Tires-Trucks","Automotive - Original Equipment"
"Apimeds Pharmaceuticals US, Inc.","APUS","16.48","Medical","Medical - Biomedical and Genetics"
"Aptevo Therapeutics","APVO","6.87","Medical","Medical - Biomedical and Genetics"
"Asia Pacific Wire & Cable","APWC","34.48","Industrial Products","Wire and Cable Products"
"AppYea, Inc.","APYP","10","Computer and Technology","Internet - Software"
"Apyx Medical","APYX","135.38","Medical","Medical - Products"
"AquaBounty Technologies","AQB","3.43","Medical","Medical - Biomedical and Genetics"
"Aqua Metals","AQMS","15.09","Business Services","Waste Removal Services"
"Algonquin Power & Utilities","AQN","5225.42","Utilities","Utility - Electric Power"
"Aquestive Therapeutics","AQST","498.99","Medical","Medical - Drugs"
"Aquaron Acquisition Corp.","AQUC","18.9","Unclassified","Unclassified"
"Antero Resources","AR","10437.4","Oils-Energy","Oil and Gas - Exploration and Production - United States"
"Arrive AI Inc.","ARAI","38.32","Business Services","Technology Services"
"Accuray","ARAY","70.45","Medical","Medical - Instruments"
"ARB IOT Group Limited","ARBB","8.24","Computer and Technology","Internet - Software"
"Industrial Tech Acquisitions","ARBE","110.28","Business Services","Technology Services"
"Arcadis","ARCAY","3527.24","Construction","Engineering - R and D Services"
"ArcBest","ARCB","2251.89","Transportation","Transportation - Truck"
"Ares Capital","ARCC","13771.68","Finance","Financial - SBIC & Commercial Industry"
"Arcturus Therapeutics Holdings","ARCT","232.43","Medical","Medical - Biomedical and Genetics"
"Ardent Health, Inc.","ARDT","1377.46","Medical","Medical Services"
"Ardelyx","ARDX","1608.82","Medical","Medical - Drugs"
"Alexandria Real Estate Equities","ARE","9309.7","Finance","REIT and Equity Trust - Other"
"American Resources","AREC","322.43","Basic Materials","Mining - Miscellaneous"
"Arena Group","AREN","150.82","Business Services","Technology Services"
"Ares Management","ARES","38296.11","Finance","Financial - Investment Management"
"Aston Martin Lagonda Global Holdings plc.","ARGGY","768.86","Auto-Tires-Trucks","Automotive - Foreign"
"Argenx","ARGX","51999.39","Medical","Medical - Biomedical and Genetics"
"Arhaus, Inc.","ARHS","1184.93","Retail-Wholesale","Retail - Miscellaneous"
"Apollo Commercial Real Estate Finance","ARI","1485.33","Finance","REIT and Equity Trust"
"Aris Mining Corporation","ARIS","4406.61","Basic Materials","Mining - Gold"
"Arkema","ARKAY","5506.8","Basic Materials","Chemical - Diversified "
"ARKO","ARKO","675.27","Consumer Staples","Consumer Products - Staples"
"Ark Restaurants","ARKR","25.09","Retail-Wholesale","Retail - Restaurants"
"American Realty Investors","ARL","280.88","Finance","Real Estate - Operations"
"Arlo Technologies","ARLO","1230.57","Computer and Technology","Internet - Software"
"Alliance Resource Partners","ARLP","3404.63","Oils-Energy","Coal"
"ARM Holdings PLC Sponsored ADR","ARM","135381.66","Computer and Technology","Electronics - Semiconductors"
"Aramark","ARMK","10773.65","Retail-Wholesale","Retail - Restaurants"
"Armata Pharmaceuticals","ARMP","431.79","Medical","Medical - Biomedical and Genetics"
"Archrock","AROC","5909.96","Oils-Energy","Oil and Gas - Field Services"
"Arrow Financial","AROW","552.63","Finance","Banks - Northeast"
"Arq, Inc.","ARQ","145.59","Basic Materials","Chemical - Specialty"
"ARQIT QUANTUM","ARQQ","250.63","Computer and Technology","Internet - Software"
"Arcutis Biotherapeutics","ARQT","3304.84","Medical","Medical - Biomedical and Genetics"
"ARMOUR Residential REIT","ARR","2170.42","Finance","REIT and Equity Trust"
"Amerigo Resources","ARREF","738.55","Basic Materials","Mining - Non Ferrous"
"Array Technologies","ARRY","1638.98","Oils-Energy","Solar"
"Artelo Biosciences","ARTL","2.62","Medical","Medical - Biomedical and Genetics"
"Artesian Resources","ARTNA","348.27","Utilities","Utility - Water Supply"
"Artiva Biotherapeutics, Inc.","ARTV","123.21","Medical","Medical - Biomedical and Genetics"
"Art's-Way Manufacturing","ARTW","12.43","Industrial Products","Manufacturing - Farm Equipment"
"Arvinas","ARVN","794.46","Medical","Medical - Biomedical and Genetics"
"Arrow Electronics","ARW","8015.42","Computer and Technology","Electronics - Parts Distribution"
"Arrowhead Pharmaceuticals","ARWR","8915.85","Medical","Medical - Biomedical and Genetics"
"Accelerant Holdings","ARX","2098.42","Finance","Insurance - Brokerage"
"Amer Sports, Inc.","AS","21179.05","Consumer Discretionary","Leisure and Recreation Products"
"ASA Gold and Precious Metals Limited","ASA","1459.21","Finance","Financial - Investment Funds"
"Sendas Distribuidora","ASAIY","2593.3","Consumer Discretionary","Consumer Products - Discretionary"
"Asana","ASAN","1664.44","Computer and Technology","Internet - Software"
"Associated BancCorp","ASB","4521.16","Finance","Banks - Midwest"
"Associated British Foods","ASBFY","18931.83","Consumer Staples","Food - Miscellaneous"
"Aspire Biopharma Holdings, Inc.","ASBP","3.71","Medical","Medical - Biomedical and Genetics"
"Ardmore Shipping","ASC","622.77","Transportation","Transportation - Shipping"
"A SPAC II Acquisition Corp.","ASCBF","68.2","Unclassified","Unclassified"
"Aristocrat Group","ASCC","2.58","Consumer Staples","Beverages - Alcohol"
"ASICS Corporation Unsponsored ADR","ASCCY","23466.71","Consumer Discretionary","Leisure and Recreation Products"
"Aisin Seiki","ASEKY","12823.71","Auto-Tires-Trucks","Automotive - Original Equipment"
"ASGN","ASGN","1729.35","Computer and Technology","Computers - IT Services"
"ASHLAND INC","ASH","2932.91","Basic Materials","Chemical - Specialty"
"Ategrity Specialty Insurance Company Holdings","ASIC","1067.08","Finance","Insurance - Multi line"
"AdvanSix","ASIX","481.29","Basic Materials","Chemical - Specialty"
"AerSale","ASLE","358.13","Aerospace","Aerospace - Defense Equipment"
"Avino Silver","ASM","1494.8","Basic Materials","Mining - Silver"
"Assembly Biosciences","ASMB","468.82","Medical","Medical - Generic Drugs"
"ASM International","ASMIY","41754.46","Computer and Technology","Semiconductor - Communications "
"ASML Holding","ASML","589060.38","Computer and Technology","Semiconductor Equipment - Wafer Fabrication"
"Ascendis Pharma","ASND","14564.07","Medical","Medical - Biomedical and Genetics"
"Actelis Networks","ASNS","1.74","Computer and Technology","Communication - Components"
"Academy Sports and Outdoors","ASO","4079.56","Consumer Discretionary","Leisure and Recreation Products"
"ASOS PLS","ASOMY","448.55","Retail-Wholesale","Retail - Apparel and Shoes"
"ASP Isotopes Inc.","ASPI","600.75","Basic Materials","Chemical - Diversified "
"Aspen Aerogels","ASPN","294.22","Construction","Building Products - Miscellaneous"
"Altisource Portfolio Solutions","ASPS","77.83","Finance","REIT and Equity Trust"
"Aspen Group","ASPU","4.66","Computer and Technology","Internet - Services"
"Grupo Aeroportuario del Sureste","ASR","10655.4","Transportation","Transportation - Services"
"Assertio","ASRT","76.68","Medical","Medical - Drugs"
"AmeriServ Financial","ASRV","61.46","Finance","Banks - Northeast"
"Strive, Inc.","ASST","446.89","Finance","Financial - Investment Management"
"Astrotech","ASTC","4.87","Aerospace","Aerospace - Defense Equipment"
"Astec Industries","ASTE","1338.24","Industrial Products","Manufacturing - Construction and Mining"
"Astrana Health, Inc.","ASTH","1081.86","Medical","Medical - Outpatient and Home Healthcare"
"Ascent Solar Technologies","ASTI","47.39","Oils-Energy","Solar"
"Legato Merger","ASTL","482.99","Basic Materials","Steel - Producers"
"AST SpaceMobile","ASTS","31497.6","Computer and Technology","Wireless Equipment"
"Asure Software","ASUR","194.07","Computer and Technology","Internet - Delivery Services"
"ASE Technology","ASX","55052.52","Computer and Technology","Electronics - Semiconductors"
"Amtech Systems","ASYS","176.77","Computer and Technology","Semiconductor - General"
"AtaiBeckley Inc","ATAI","1587.14","Medical","Medical - Biomedical and Genetics"
"Atour Lifestyle Holdings Limited Sponsored ADR","ATAT","5513.62","Consumer Discretionary","Leisure and Recreation Services"
"AtlasClear Holdings, Inc.","ATCH","35.93","Business Services","Financial Transaction Services"
"AUTOTRADER GRP","ATDRY","5280","Auto-Tires-Trucks","Automotive - Foreign"
"Alphatec","ATEC","2069.3","Medical","Medical - Instruments"
"Athena Technology Acquisition Corp. II","ATEK","88.94","Unclassified","Unclassified"
"A10 Networks","ATEN","1362.09","Computer and Technology","Internet - Software"
"Aterian","ATER","5.67","Business Services","Technology Services"
"Anterix","ATEX","712.22","Computer and Technology","Communication - Infrastructure"
"Advantest","ATEYY","127696.67","Computer and Technology","Electronics - Measuring Instruments"
"Alpha Technology Group Limited","ATGL","253.21","Business Services","Technology Services"
"AltiGen Communications","ATGN","11.77","Computer and Technology","Communication - Components"
"Alterity Therapeutics Limited - Sponsored ADR","ATHE","29.49","Medical","Medical - Biomedical and Genetics"
"Autohome","ATHM","2426.37","Computer and Technology","Internet - Services"
"Aether Holdings, Inc.","ATHR","37.77","Business Services","Technology Services"
"ATI INC","ATI","22052.22","Aerospace","Aerospace - Defense Equipment"
"Atkore","ATKR","2232.94","Industrial Products","Wire and Cable Products"
"Atlanticus","ATLC","797.2","Finance","Financial - Miscellaneous Services"
"Atlas Copco","ATLKY","105837.45","Industrial Products","Manufacturing - General Industrial "
"Atlantic International Corp.","ATLN","188.45","Business Services","Business - Services"
"Ames National","ATLO","244.62","Finance","Banks - Midwest"
"Atlas Lithium Corporation","ATLX","123.88","Basic Materials","Mining - Miscellaneous"
"AlphaTime Acquisition Corp.","ATMC","39.81","Unclassified","Unclassified"
"Atmus Filtration Technologies Inc.","ATMU","5307.02","Auto-Tires-Trucks","Automotive - Original Equipment"
"ATN International","ATNI","436.36","Computer and Technology","Wireless National"
"Actinium Pharmaceuticals","ATNM","33.38","Medical","Medical - Drugs"
